metric,value
requested_tickers,"AGG, BIV, BND, DGRO, DVY, FTEC, GOVT, HDV, HYG, HYLB, IEF, IEI, IGSB, IUSB, IVV, IWB, IWF, IYW, JNK, LQD, NOBL, OEF, QQQ, QQQM, SCHD, SCHG, SCHX, SCHZ, SDY, SHY, SHYG, SJNK, SPLG, SPY, TLT, USIG, VCIT, VCSH, VGIT, VGLT, VGSH, VGT, VIG, VOO, VUG, VYM, XLK"
available_tickers,"AGG, BIV, BND, DGRO, DVY, FTEC, GOVT, HDV, HYG, HYLB, IEF, IEI, IGSB, IUSB, IVV, IWB, IWF, IYW, JNK, LQD, NOBL, OEF, QQQ, QQQM, SCHD, SCHG, SCHX, SCHZ, SDY, SHY, SHYG, SJNK, SPLG, SPY, TLT, USIG, VCIT, VCSH, VGIT, VGLT, VGSH, VGT, VIG, VOO, VUG, VYM, XLK"
missing_tickers,None
start_date,2021-01-04
end_date,2026-05-01
observations,1338
