ticker,name,quote_type,category,fund_family,total_assets,expense_ratio,currency,exchange,average_volume,last_price,trailing_pe,forward_pe,price_to_book,portfolio_pe,portfolio_price_to_book,return_on_equity,dividend_yield,top_10_concentration,metadata_available
SPLG,State Street SPDR Portfolio S&P 500 ETF,ETF,Large Blend,State Street Investment Management,97328324608,0.02,USD,PCX,10140375,80.0,27.429676,,,27.563395810363836,5.073566717402334,,1.13,0.396130598,True
TLT,iShares 20+ Year Treasury Bond ETF,ETF,Long Government,iShares,42618560512,0.15,USD,NGM,35233733,85.61000061035156,,-4280.75,0.57511836,,,,4.49,,True
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,ETF,Corporate Bond,iShares,17055147008,0.04,USD,NGM,3134268,51.099998474121094,,,,,,,4.68,0.0027088001,True
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,ETF,Corporate Bond,Vanguard,66028621824,0.03,USD,NGM,12948020,82.58000183105469,,,,,,,4.72,,True
VCSH,Vanguard Short-Term Corporate Bond Index Fund ETF Shares,ETF,Short-Term Bond,Vanguard,48491991040,0.03,USD,NGM,5420931,78.9800033569336,,,,,,,4.41,,True
VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares,ETF,Intermediate Government,Vanguard,48471842816,0.03,USD,NGM,3301073,59.15999984741211,,,,,,,3.82,,True
VGLT,Vanguard Long-Term Treasury Index Fund ETF Shares,ETF,Long Government,Vanguard,14362285056,0.03,USD,NGM,2723686,54.72999954223633,,,,,,,4.49,,True
VGSH,Vanguard Short-Term Treasury Index Fund ETF Shares,ETF,Short Government,Vanguard,33368180736,0.03,USD,NGM,4067166,58.310001373291016,,,,,,,3.95,,True
VGT,Vanguard Information Technology Index Fund ETF Shares,ETF,Technology,Vanguard,121284206592,0.09,USD,PCX,4219785,104.8499984741211,37.457523,,,31.162355874104083,7.937137868084769,,0.44,0.5903458149999999,True
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,ETF,Large Blend,Vanguard,117045436416,0.04,USD,PCX,1333496,228.44000244140625,26.489157,,,24.93765586034913,4.7485635595232445,,1.61,0.320828198,True
VOO,Vanguard S&P 500 ETF,ETF,Large Blend,Vanguard,1421127057408,0.03,USD,PCX,10116356,662.52001953125,28.604385,,1.6950575,25.81311306143521,4.798464491362764,,1.19,0.36516970099999996,True
VUG,Vanguard Growth Index Fund ETF Shares,ETF,Large Growth,Vanguard,317921722368,0.03,USD,PCX,9919028,83.86000061035156,37.55498,,0.38869244,32.59452411994785,10.797969981643451,,0.46,0.6387236059999999,True
VYM,Vanguard High Dividend Yield Index Fund ETF Shares,ETF,Large Value,Vanguard,88722817024,0.04,USD,PCX,1569960,156.50999450683594,21.757996,,,20.588840848260244,2.9233782559125325,,2.37,0.24404999900000002,True
XLK,State Street Technology Select Sector SPDR ETF,ETF,Technology,State Street Investment Management,84198424576,0.08,USD,PCX,16966436,161.8699951171875,38.477707,,1.0837936,31.605562579013906,9.00657479960371,,0.57,0.6132790980000001,True
