date,AGG,BIV,BND,DGRO,DVY,FTEC,GOVT,HDV,HYG,HYLB,IEF,IEI,IGSB,IUSB,IVV,IWB,IWF,IYW,JNK,LQD,NOBL,OEF,QQQ,QQQM,SCHD,SCHG,SCHX,SCHZ,SDY,SHY,SHYG,SJNK,SPLG,SPY,TLT,USIG,VCIT,VCSH,VGIT,VGLT,VGSH,VGT,VIG,VOO,VUG,VYM,XLK
2021-01-04,100.42909240722656,77.52526092529297,74.64788818359375,39.19070816040039,78.47330474853516,99.2392578125,23.99764060974121,14.447383880615234,65.30596160888672,29.614681243896484,104.06309509277344,117.63030242919922,46.467552185058594,45.84519577026367,343.8125,195.46896362304688,57.60161590576172,82.30178833007812,78.87345123291016,112.5777816772461,70.52682495117188,159.22702026367188,299.7851257324219,122.95986938476562,17.521060943603516,15.458971977233887,13.932838439941406,23.529325485229492,91.47136688232422,75.51949310302734,32.545806884765625,19.111400604248047,40.2566032409668,343.319091796875,132.7332000732422,50.57143020629883,79.24998474121094,70.42024230957031,59.8953857421875,80.23467254638672,53.27885055541992,41.98601150512695,126.49363708496094,314.57794189453125,40.419456481933594,77.54715728759766,61.42499923706055
2021-01-05,100.32698059082031,77.41668701171875,74.520751953125,39.403564453125,79.37594604492188,99.9919662475586,23.945070266723633,14.581794738769531,65.32847595214844,29.614681243896484,103.82024383544922,117.53299713134766,46.4422721862793,45.81996536254883,346.08782958984375,197.00360107421875,57.902042388916016,82.969482421875,78.92422485351562,112.21730041503906,71.03814697265625,160.18553161621094,302.2565002441406,123.94197082519531,17.662382125854492,15.55656623840332,14.029033660888672,23.508298873901367,92.13682556152344,75.51949310302734,32.545806884765625,19.111400604248047,40.53512954711914,345.6837463378906,131.7474822998047,50.42409896850586,79.10298919677734,70.38639831542969,59.817752838134766,79.64839935302734,53.27018356323242,42.33116912841797,126.90233612060547,316.6470947265625,40.681724548339844,78.20768737792969,61.82361602783203
2021-01-06,99.8335189819336,77.07433319091797,74.19017791748047,40.13079071044922,82.51456451416016,98.41899871826172,23.804824829101562,14.762682914733887,65.20854187011719,29.567304611206055,103.21308135986328,117.25005340576172,46.4001579284668,45.651676177978516,348.1772766113281,198.27622985839844,57.257568359375,81.40829467773438,78.80812072753906,111.30805206298828,72.724609375,160.16671752929688,298.06964111328125,122.23419952392578,18.15007781982422,15.37845516204834,14.114367485046387,23.4032039642334,95.19258117675781,75.47579193115234,32.50274658203125,19.111400604248047,40.75794982910156,347.7503662109375,129.04287719726562,50.12128448486328,78.84156036376953,70.31874084472656,59.62803268432617,78.07366180419922,53.25288391113281,41.62880325317383,128.50083923339844,318.5677185058594,40.236507415771484,80.17211151123047,60.757442474365234
2021-01-07,99.73140716552734,76.9740982055664,74.03761291503906,40.43232727050781,82.7712631225586,101.12097930908203,23.743473052978516,14.790895462036133,65.39595031738281,29.656137466430664,102.84880065917969,117.10858917236328,46.4001579284668,45.575965881347656,353.3314514160156,201.30807495117188,58.558650970458984,83.8237533569336,79.02587890625,111.2916259765625,72.97576904296875,162.68504333496094,305.2805480957031,125.2627182006836,18.27199935913086,15.757854461669922,14.334689140319824,23.373777389526367,95.3151626586914,75.49322509765625,32.617549896240234,19.154048919677734,41.36143493652344,352.91705322265625,127.90546417236328,50.08854675292969,78.75988006591797,70.30180358886719,59.524505615234375,77.43709564208984,53.244239807128906,42.81388473510742,129.29110717773438,323.327880859375,41.16580581665039,80.64392852783203,62.395118713378906
2021-01-08,99.61228942871094,76.81541442871094,73.96978759765625,40.47666549682617,82.34891510009766,101.92192077636719,23.70841407775879,14.807489395141602,65.49337768554688,29.691652297973633,102.5539321899414,116.96712493896484,46.391719818115234,45.55073165893555,355.3467102050781,202.51516723632812,59.16437530517578,84.42269897460938,79.12747955322266,111.20973205566406,72.93092346191406,164.01937866210938,309.2058410644531,126.88824462890625,18.21658706665039,15.911563873291016,14.415366172790527,23.348552703857422,95.20132446289062,75.48451232910156,32.64625930786133,19.18247413635254,41.62138748168945,354.92791748046875,127.49259948730469,50.055809020996094,78.63733673095703,70.27645111083984,59.42967224121094,77.18579864501953,53.244239807128906,43.12644577026367,129.74520874023438,325.1464538574219,41.60617446899414,80.66107940673828,62.79852294921875
2021-01-11,99.45064544677734,76.6567611694336,73.89354705810547,40.52101516723633,82.60564422607422,101.04378509521484,23.69089126586914,14.855609893798828,65.14105224609375,29.53769874572754,102.35443115234375,116.8874740600586,46.34962844848633,45.46658706665039,353.02496337890625,201.2238311767578,58.454471588134766,83.686279296875,78.69924926757812,110.73462677001953,72.8322525024414,162.5816650390625,304.73773193359375,124.99180603027344,18.291400909423828,15.676122665405273,14.326930046081543,23.289695739746094,95.23635864257812,75.47579193115234,32.53863525390625,19.118507385253906,41.35214614868164,352.5353698730469,127.28196716308594,49.883934020996094,78.44132995605469,70.234130859375,59.377933502197266,77.02667999267578,53.235618591308594,42.75836944580078,129.3546600341797,323.0215759277344,41.04600524902344,81.0299301147461,62.27986145019531
2021-01-12,99.53572082519531,76.68179321289062,73.8765869140625,40.600826263427734,83.53315734863281,100.79289245605469,23.69089126586914,14.892121315002441,65.22351837158203,29.59100341796875,102.33707427978516,116.86093139648438,46.3833122253418,45.483402252197266,353.0806579589844,201.4764862060547,58.33089828491211,83.5782470703125,78.81536865234375,110.97216033935547,73.44224548339844,162.33738708496094,304.253173828125,124.95309448242188,18.45488929748535,15.65416145324707,14.345545768737793,23.310726165771484,96.1119155883789,75.47579193115234,32.57450485229492,19.146940231323242,41.36143493652344,352.6098937988281,127.18087005615234,49.990325927734375,78.53118133544922,70.27645111083984,59.369300842285156,76.99317169189453,53.22697067260742,42.69562530517578,129.25477600097656,323.0494384765625,40.96665954589844,81.48457336425781,61.98209762573242
2021-01-13,99.85053253173828,76.90726470947266,74.07154083251953,40.65404510498047,83.47517395019531,101.34294128417969,23.752241134643555,14.902077674865723,65.41841888427734,29.656137466430664,102.69267272949219,117.01133728027344,46.4254264831543,45.618019104003906,353.97216796875,201.95375061035156,58.61195373535156,83.95137786865234,79.03311920166016,111.83229064941406,73.11933135986328,163.19244384765625,306.30780029296875,125.63038635253906,18.3856143951416,15.723695755004883,14.37192153930664,23.39058494567871,95.74417114257812,75.46701049804688,32.65343475341797,19.18958282470703,41.44498062133789,353.5594482421875,128.61318969726562,50.27678680419922,78.81706237792969,70.3441162109375,59.455535888671875,77.78050994873047,53.244239807128906,42.909217834472656,129.0731201171875,323.85662841796875,41.12209701538086,81.53604888916016,62.37590408325195
2021-01-14,99.65484619140625,76.857177734375,73.97828674316406,40.66291046142578,84.38611602783203,100.69639587402344,23.71718406677246,15.023218154907227,65.4034423828125,29.656137466430664,102.45852661132812,116.9759292602539,46.3833122253418,45.575965881347656,352.746337890625,201.31739807128906,58.083770751953125,83.49970245361328,79.00408172607422,111.34896850585938,73.074462890625,162.29978942871094,304.66998291015625,124.95309448242188,18.47428321838379,15.540706634521484,14.326930046081543,23.348552703857422,96.36582946777344,75.47579193115234,32.617549896240234,19.196685791015625,41.314998626708984,352.3212890625,127.40837097167969,50.12947082519531,78.71903228759766,70.31026458740234,59.42103576660156,77.11038208007812,53.235618591308594,42.64131164550781,128.33738708496094,322.7618103027344,40.72220993041992,82.03357696533203,61.82841491699219
2021-01-15,99.7569580078125,76.91566467285156,74.03761291503906,40.405723571777344,83.5580062866211,99.66385650634766,23.743473052978516,14.882162094116211,65.29846954345703,29.60283660888672,102.73605346679688,117.11744689941406,46.3833122253418,45.64327621459961,350.2017822265625,199.8764190673828,57.771209716796875,82.76329803466797,78.88794708251953,111.5209732055664,72.59901428222656,161.05941772460938,302.2565002441406,123.94681549072266,18.25261116027832,15.437015533447266,14.218320846557617,23.373777389526367,95.6566390991211,75.48451232910156,32.56734085083008,19.175363540649414,40.999351501464844,349.75189208984375,127.91388702392578,50.178565979003906,78.77621459960938,70.31026458740234,59.51593017578125,77.41194915771484,53.25288391113281,42.19237518310547,127.83781433105469,320.46063232421875,40.49231719970703,81.1843490600586,61.19447326660156
